cites,authors,title,year,source,publisher,abstract,text
151,"EL Schiffrin, JM Flack, S Ito, P Muntner, RC Webb",Hypertension and COVID-19,2020,,academic.oup.com,"The world is currently suffering from the outbreak of a pandemic caused by the severe acute respiratory syndrome coronavirus SARS-CoV-2 that causes the disease called COVID-19, first reported in Wuhan, Hubei Province, China on 31 December 2019. 1 As of 29 March ??","Hypertension and COVID-19 The world is currently suffering from the outbreak of a pandemic caused by the severe acute respiratory syndrome coronavirus SARS-CoV-2 that causes the disease called COVID-19, first reported in Wuhan, Hubei Province, China on 31 December 2019. 1 As of 29 March ??"
150,"Y Kang, T Chen, D Mui, V Ferrari, D Jagasia??",Cardiovascular manifestations and treatment considerations in covid-19,2020,Heart,heart.bmj.com,"Since its recognition in December 2019, covid-19 has rapidly spread globally causing a pandemic. Pre-existing comorbidities such as hypertension, diabetes, and cardiovascular disease are associated with a greater severity and higher fatality rate of covid-19 ??","Cardiovascular manifestations and treatment considerations in covid-19 Since its recognition in December 2019, covid-19 has rapidly spread globally causing a pandemic. Pre-existing comorbidities such as hypertension, diabetes, and cardiovascular disease are associated with a greater severity and higher fatality rate of covid-19 ??"
150,"M Maliszewska, A Mattoo??",The potential impact of COVID-19 on GDP and trade: A preliminary assessment,2020,World Bank Policy ??,papers.ssrn.com,"The virus that triggered a localized shock in China is now delivering a significant global shock. This study simulates the potential impact of COVID-19 on gross domestic product and trade, using a standard global computable general equilibrium model. It models the shock ??","The potential impact of COVID-19 on GDP and trade: A preliminary assessment The virus that triggered a localized shock in China is now delivering a significant global shock. This study simulates the potential impact of COVID-19 on gross domestic product and trade, using a standard global computable general equilibrium model. It models the shock ??"
149,"I Holmdahl, C Buckee",Wrong but useful??what covid-19 epidemiologic models can and cannot tell us,2020,New England Journal of Medicine,Mass Medical Soc,"Wrong but Useful Mechanistic epidemiologic models are designed to help us systematically examine the implications of various assumptions about a highly nonlinear process that is hard to predict using only intuition. Used appropriately, they can help guide us through this ??","Wrong but useful??what covid-19 epidemiologic models can and cannot tell us Wrong but Useful Mechanistic epidemiologic models are designed to help us systematically examine the implications of various assumptions about a highly nonlinear process that is hard to predict using only intuition. Used appropriately, they can help guide us through this ??"
149,"CC Lu, MY Chen, YL Chang",Potential therapeutic agents against COVID-19: What we know so far,2020,Journal of the Chinese Medical ??,ncbi.nlm.nih.gov,The emerging outbreak of coronavirus disease 2019 (COVID-19) caused by the severe acute respiratory syndrome coronavirus 2 continues to spread all over the world. Agents or vaccines of proven efficacy to treat or prevent human coronavirus infection are in urgent ??,Potential therapeutic agents against COVID-19: What we know so far The emerging outbreak of coronavirus disease 2019 (COVID-19) caused by the severe acute respiratory syndrome coronavirus 2 continues to spread all over the world. Agents or vaccines of proven efficacy to treat or prevent human coronavirus infection are in urgent ??
148,"I Gandolfini, M Delsante, E Fiaccadori??",COVID?\19 in kidney transplant recipients,2020,American Journal of ??,Wiley Online Library,"An outbreak of severe acute respiratory syndrome coronavirus 2 (SARS?\CoV?\2) that began in Wuhan, China, has spread rapidly and has already taken on pandemic proportions. After China, Italy is the country with the highest number of cases so far (41,035 confirmed cases ??","COVID?\19 in kidney transplant recipients An outbreak of severe acute respiratory syndrome coronavirus 2 (SARS?\CoV?\2) that began in Wuhan, China, has spread rapidly and has already taken on pandemic proportions. After China, Italy is the country with the highest number of cases so far (41,035 confirmed cases ??"
147,"I Colmenero, C Santonja??","SARS?\CoV?\2 endothelial infection causes COVID?\19 chilblains: histopathological, immunohistochemical and ultrastructural study of seven paediatric cases",2020,British journal of ??,Wiley Online Library,"Summary Background Chilblains ('COVID toes') are being seen with increasing frequency in children and young adults during the COVID?\19 pandemic. Detailed histopathological descriptions of COVID?\19 chilblains have not been reported, and causality of SARS?\CoV?\2 ??","SARS?\CoV?\2 endothelial infection causes COVID?\19 chilblains: histopathological, immunohistochemical and ultrastructural study of seven paediatric cases Summary Background Chilblains ('COVID toes') are being seen with increasing frequency in children and young adults during the COVID?\19 pandemic. Detailed histopathological descriptions of COVID?\19 chilblains have not been reported, and causality of SARS?\CoV?\2 ??"
147,"S Chavez, B Long, A Koyfman, SY Liang",Coronavirus Disease (COVID-19): A primer for emergency physicians,2020,The American journal of ??,Elsevier,Introduction Rapid worldwide spread of Coronavirus Disease 2019 (COVID-19) has resulted in a global pandemic. Objective This review article provides emergency physicians with an overview of the most current understanding of COVID-19 and recommendations on the ??,Coronavirus Disease (COVID-19): A primer for emergency physicians Introduction Rapid worldwide spread of Coronavirus Disease 2019 (COVID-19) has resulted in a global pandemic. Objective This review article provides emergency physicians with an overview of the most current understanding of COVID-19 and recommendations on the ??
146,"Z Wang, K Tang",Combating COVID-19: health equity matters,2020,Nature medicine,nature.com,"COVID-19 in China has caused global concern1. By 24 February 2020, the number of confirmed infections nationwide had reached 77,658, of which 64,786 were in Hubei province (with 47,071 in Wuhan city). The Chinese government's massive lockdown and ??","Combating COVID-19: health equity matters COVID-19 in China has caused global concern1. By 24 February 2020, the number of confirmed infections nationwide had reached 77,658, of which 64,786 were in Hubei province (with 47,071 in Wuhan city). The Chinese government's massive lockdown and ??"
145,"J Zhang, B Xie, K Hashimoto",Current status of potential therapeutic candidates for the COVID-19 crisis,2020,"Brain, behavior, and immunity",Elsevier,"Abstract As of April 15, 2020, the ongoing coronavirus disease 2019 (COVID-2019) pandemic has swept through 213 countries and infected more than 1,870,000 individuals, posing an unprecedented threat to international health and the economy. There is currently ??","Current status of potential therapeutic candidates for the COVID-19 crisis Abstract As of April 15, 2020, the ongoing coronavirus disease 2019 (COVID-2019) pandemic has swept through 213 countries and infected more than 1,870,000 individuals, posing an unprecedented threat to international health and the economy. There is currently ??"
144,"SM Parodi, VX Liu",From containment to mitigation of COVID-19 in the US,2020,Jama,jamanetwork.com,"Coronavirus disease 2019 (COVID-19) is a respiratory illness that results from severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection. 1 Following initial reports of disease outbreak in China, COVID-19 has spread worldwide with cases identified in at least ??","From containment to mitigation of COVID-19 in the US Coronavirus disease 2019 (COVID-19) is a respiratory illness that results from severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection. 1 Following initial reports of disease outbreak in China, COVID-19 has spread worldwide with cases identified in at least ??"
144,"HR G?NER, I Hasano?lu??",COVID-19: Prevention and control measures in community,2020,Turkish Journal of medical ??,journals.tubitak.gov.tr,"On January 30, 2020, the WHO declared the COVID-19 outbreak a public health emergency of international concern and, in March 2020, began to characterize it as a pandemic in order to emphasize the gravity of the situation and urge all countries to take action in detecting ??","COVID-19: Prevention and control measures in community On January 30, 2020, the WHO declared the COVID-19 outbreak a public health emergency of international concern and, in March 2020, began to characterize it as a pandemic in order to emphasize the gravity of the situation and urge all countries to take action in detecting ??"
144,"A Alimadadi, S Aryal, I Manandhar, PB Munroe, B Joe??",Artificial intelligence and machine learning to fight COVID-19,2020,,journals.physiology.org,"Coronavirus disease 2019 (COVID-19), caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)(13), has become an unprecedented public health crisis. Coronavirus Resource Center at Johns Hopkins University of Medicine has reported a total ??","Artificial intelligence and machine learning to fight COVID-19 Coronavirus disease 2019 (COVID-19), caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)(13), has become an unprecedented public health crisis. Coronavirus Resource Center at Johns Hopkins University of Medicine has reported a total ??"
143,"PP Glasziou, S Sanders, T Hoffmann",Waste in covid-19 research,2020,,bmj.com,"The medical research world is responding to the covid-19 pandemic at breathtaking speed. There has been a maelstrom of global research, with mixed consequences. Positives include the greater provision of open access to covid-19 studies, some increased ??","Waste in covid-19 research The medical research world is responding to the covid-19 pandemic at breathtaking speed. There has been a maelstrom of global research, with mixed consequences. Positives include the greater provision of open access to covid-19 studies, some increased ??"
143,"JL Vincent, FS Taccone",Understanding pathways to death in patients with COVID-19,2020,The Lancet Respiratory Medicine,thelancet.com,"Since the first cases of coronavirus disease 2019 (COVID-19), caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), were identified in China in December, 2019, we have witnessed increasing numbers of infections and associated deaths ??","Understanding pathways to death in patients with COVID-19 Since the first cases of coronavirus disease 2019 (COVID-19), caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), were identified in China in December, 2019, we have witnessed increasing numbers of infections and associated deaths ??"
142,"D Jackson, C Bradbury?\Jones, D Baptiste, L Gelling??",Life in the pandemic: Some reflections on nursing in the context of COVID?\19,2020,,Wiley Online Library,"In the unparalleled and extraordinary public health emergency in which we find ourselves, across the world nurses stand as we always do?Cat the front line. Nurses everywhere are staffing our clinics, hospital wards and units?Cin some situations, literally working until they ??","Life in the pandemic: Some reflections on nursing in the context of COVID?\19 In the unparalleled and extraordinary public health emergency in which we find ourselves, across the world nurses stand as we always do?Cat the front line. Nurses everywhere are staffing our clinics, hospital wards and units?Cin some situations, literally working until they ??"
141,"CM Weible, D Nohrstedt, P Cairney, DP Carter??",COVID-19 and the policy sciences: initial reactions and perspectives,2020,Policy sciences,Springer,"The world is in the grip of a crisis that stands unprecedented in living memory. The COVID-19 pandemic is urgent, global in scale, and massive in impacts. Following Harold D. Lasswell's goal for the policy sciences to offer insights into unfolding phenomena, this ??","COVID-19 and the policy sciences: initial reactions and perspectives The world is in the grip of a crisis that stands unprecedented in living memory. The COVID-19 pandemic is urgent, global in scale, and massive in impacts. Following Harold D. Lasswell's goal for the policy sciences to offer insights into unfolding phenomena, this ??"
140,"A Hoang, K Chorath, A Moreira, M Evans??",COVID-19 in 7780 pediatric patients: a systematic review,2020,EClinicalMedicine,Elsevier,"Background Studies summarizing the clinical picture of COVID-19 in children are lacking. This review characterizes clinical symptoms, laboratory, and imaging findings, as well as therapies provided to confirmed pediatric cases of COVID-19. Methods Adhering to PRISMA ??","COVID-19 in 7780 pediatric patients: a systematic review Background Studies summarizing the clinical picture of COVID-19 in children are lacking. This review characterizes clinical symptoms, laboratory, and imaging findings, as well as therapies provided to confirmed pediatric cases of COVID-19. Methods Adhering to PRISMA ??"
140,MJ Tobin,Basing respiratory management of COVID-19 on physiological principles,2020,,atsjournals.org,"The dominant respiratory feature of severe coronavirus disease 2019 (Covid-19) is arterial hypoxemia, greatly exceeding abnormalities in pulmonary mechanics (decreased compliance). 1-3 Many patients are intubated and placed on mechanical ventilation early in ??","Basing respiratory management of COVID-19 on physiological principles The dominant respiratory feature of severe coronavirus disease 2019 (Covid-19) is arterial hypoxemia, greatly exceeding abnormalities in pulmonary mechanics (decreased compliance). 1-3 Many patients are intubated and placed on mechanical ventilation early in ??"
139,"K Kupferschmidt, J Cohen",Can China's COVID-19 strategy work elsewhere?,2020,,science.sciencemag.org,A new report confirms drops in the spread of COVID-19 in China and contends that the effective response there could inform other countries. But critics say the report failed to acknowledge the human rights costs of the most severe measures imposed by China9s ??,Can China's COVID-19 strategy work elsewhere? A new report confirms drops in the spread of COVID-19 in China and contends that the effective response there could inform other countries. But critics say the report failed to acknowledge the human rights costs of the most severe measures imposed by China9s ??
139,"D Tang, P Comish, R Kang",The hallmarks of COVID-19 disease,2020,PLoS pathogens,journals.plos.org,"Severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2) is a novel coronavirus that has caused a worldwide pandemic of the human respiratory illness COVID-19, resulting in a severe threat to public health and safety. Analysis of the genetic tree suggests that SARS ??","The hallmarks of COVID-19 disease Severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2) is a novel coronavirus that has caused a worldwide pandemic of the human respiratory illness COVID-19, resulting in a severe threat to public health and safety. Analysis of the genetic tree suggests that SARS ??"
139,"R Cash, V Patel",Has COVID-19 subverted global health?,2020,The Lancet,thelancet.com,"Perspectives 2 www. thelancet. com Published online May 5, 2020 https://doi. org/10.1016/S0140-6736 (20) 31089-8 and doctors; and the role of community engagement. Constrained health-care systems already short of money, beds, equipment, and staff, are ??","Has COVID-19 subverted global health? Perspectives 2 www. thelancet. com Published online May 5, 2020 https://doi. org/10.1016/S0140-6736 (20) 31089-8 and doctors; and the role of community engagement. Constrained health-care systems already short of money, beds, equipment, and staff, are ??"
138,"N Mangalmurti, CA Hunter",Cytokine storms: understanding COVID-19,2020,Immunity,Elsevier,"The elevated circulating levels of cytokines associated with a variety of infectious and immune-mediated conditions are frequently termed a cytokine storm. Here, we explain the protective functions of cytokines in ??ideal?? responses; the multi-factorial origins that can drive ??","Cytokine storms: understanding COVID-19 The elevated circulating levels of cytokines associated with a variety of infectious and immune-mediated conditions are frequently termed a cytokine storm. Here, we explain the protective functions of cytokines in ??ideal?? responses; the multi-factorial origins that can drive ??"
137,"R Blundell, M Costa Dias, R Joyce, X Xu",COVID?\19 and Inequalities,2020,Fiscal Studies,Wiley Online Library,"This paper brings together evidence from various data sources and the most recent studies to describe what we know so far about the impacts of the COVID?\19 crisis on inequalities across several key domains of life, including employment and ability to earn, family life and ??","COVID?\19 and Inequalities This paper brings together evidence from various data sources and the most recent studies to describe what we know so far about the impacts of the COVID?\19 crisis on inequalities across several key domains of life, including employment and ability to earn, family life and ??"
137,"I Berlin, D Thomas, AL Le Faou??",COVID-19 and smoking,2020,Nicotine and Tobacco ??,academic.oup.com,COVID-19 is mainly a disease of the respiratory tract characterized by a severe acute respiratory syndrome; the causative agent is SARS-CoV-2 (Severe Acute Respiratory Syndrome Coronavirus 2). The virus main entrance way is through mucosal tissues: nose ??,COVID-19 and smoking COVID-19 is mainly a disease of the respiratory tract characterized by a severe acute respiratory syndrome; the causative agent is SARS-CoV-2 (Severe Acute Respiratory Syndrome Coronavirus 2). The virus main entrance way is through mucosal tissues: nose ??
137,"SB Omer, P Malani, C Del Rio",The COVID-19 pandemic in the US: a clinical update,2020,Jama,jamanetwork.com,"(COVID-19) infection as identified in Washington State on January 20, 2020, more than 235 000 cases have been identified across the US in just over 2 months. Given the challengesinexpandingtestingcapacityandt?? case definition of persons under investigation, the true number of cases is likely much ??","The COVID-19 pandemic in the US: a clinical update (COVID-19) infection as identified in Washington State on January 20, 2020, more than 235 000 cases have been identified across the US in just over 2 months. Given the challengesinexpandingtestingcapacityandt?? case definition of persons under investigation, the true number of cases is likely much ??"
137,"P Shi, Y Dong, H Yan, C Zhao, X Li, W Liu, M He??",Impact of temperature on the dynamics of the COVID-19 outbreak in China,2020,Science of the total ??,Elsevier,"A COVID-19 outbreak emerged in Wuhan, China at the end of 2019 and developed into a global pandemic during March 2020. The effects of temperature on the dynamics of the COVID-19 epidemic in China are unknown. Data on COVID-19 daily confirmed cases and ??","Impact of temperature on the dynamics of the COVID-19 outbreak in China A COVID-19 outbreak emerged in Wuhan, China at the end of 2019 and developed into a global pandemic during March 2020. The effects of temperature on the dynamics of the COVID-19 epidemic in China are unknown. Data on COVID-19 daily confirmed cases and ??"
135,"IJ Koralnik, KL Tyler",COVID?\19: a global threat to the nervous system,2020,Annals of neurology,Wiley Online Library,"In less than 6 months, the severe acute respiratory syndrome?\coronavirus type 2 (SARS?\CoV?\2) has spread worldwide infecting nearly 6 million people and killing over 350,000. Initially thought to be restricted to the respiratory system, we now understand that ??","COVID?\19: a global threat to the nervous system In less than 6 months, the severe acute respiratory syndrome?\coronavirus type 2 (SARS?\CoV?\2) has spread worldwide infecting nearly 6 million people and killing over 350,000. Initially thought to be restricted to the respiratory system, we now understand that ??"
134,"A Waris, AU Khan, M Ali, A Ali, A Baset",COVID-19 outbreak: current scenario of Pakistan,2020,New Microbes and New Infections,Elsevier,"COVID-19 outbreak was first time experienced in the Wuhan City of China at the end of December 2019. Which spread rapidly in China and then worldwide in 209 countries of America, Europe, Australia and Asia including Pakistan. There are more than fifty thousand ??","COVID-19 outbreak: current scenario of Pakistan COVID-19 outbreak was first time experienced in the Wuhan City of China at the end of December 2019. Which spread rapidly in China and then worldwide in 209 countries of America, Europe, Australia and Asia including Pakistan. There are more than fifty thousand ??"
133,"Y Xia, R Jin, J Zhao, W Li, H Shen",Risk of COVID-19 for cancer patients,2020,Lancet Oncol,covid-19.conacyt.mx,"We read the excellent Comment by Wenhua Liang and colleagues1 in The Lancet Oncology with great interest. Of 1590 cases with confirmed coronavirus disease 2019 (COVID-19), 18 patients had a history of cancer. The authors concluded that patients with cancer had a ??","Risk of COVID-19 for cancer patients We read the excellent Comment by Wenhua Liang and colleagues1 in The Lancet Oncology with great interest. Of 1590 cases with confirmed coronavirus disease 2019 (COVID-19), 18 patients had a history of cancer. The authors concluded that patients with cancer had a ??"
133,"SC Cheng, YC Chang, YLF Chiang, YC Chien??",First case of Coronavirus Disease 2019 (COVID-19) pneumonia in Taiwan,2020,Journal of the Formosan ??,Elsevier,"An outbreak of respiratory illness proved to be infected by a 2019 novel coronavirus, officially named Coronavirus Disease 2019 (COVID-19), was notified first in Wuhan, China, and has spread rapidly in China and to other parts of the world. Herein, we reported the first ??","First case of Coronavirus Disease 2019 (COVID-19) pneumonia in Taiwan An outbreak of respiratory illness proved to be infected by a 2019 novel coronavirus, officially named Coronavirus Disease 2019 (COVID-19), was notified first in Wuhan, China, and has spread rapidly in China and to other parts of the world. Herein, we reported the first ??"
131,R Tandon,"The COVID-19 pandemic, personal reflections on editorial responsibility",2020,Asian journal of psychiatry,ncbi.nlm.nih.gov,"This is a PDF file of an article that has undergone enhancements after acceptance, such as the addition of a cover page and metadata, and formatting for readability, but it is not yet the definitive version of record. This version will undergo additional copyediting, typesetting and ??","The COVID-19 pandemic, personal reflections on editorial responsibility This is a PDF file of an article that has undergone enhancements after acceptance, such as the addition of a cover page and metadata, and formatting for readability, but it is not yet the definitive version of record. This version will undergo additional copyediting, typesetting and ??"
131,"CM Vieira, OH Franco, CG Restrepo, T Abel",COVID-19: The forgotten priorities of the pandemic,2020,Maturitas,Elsevier,"The zoonotic virus now named SARS-CoV-2 first infected humans in China, and COVID-19 has rapidly become pandemic. To mitigate its impact on societies, health systems and economies, countries have adopted non-pharmacological preventive practices such as ??","COVID-19: The forgotten priorities of the pandemic The zoonotic virus now named SARS-CoV-2 first infected humans in China, and COVID-19 has rapidly become pandemic. To mitigate its impact on societies, health systems and economies, countries have adopted non-pharmacological preventive practices such as ??"
130,"SW Kim, KP Su",Using psychoneuroimmunity against COVID-19,2020,"Brain, behavior, and immunity",Elsevier,"The worldwide outbreak of coronavirus disease 2019 (COVID-19) raises concerns of widespread panic and anxiety in individuals subjected to the real or perceived threat of the virus. Compared to general populations, patients who are institutionalized in a closed unit ??","Using psychoneuroimmunity against COVID-19 The worldwide outbreak of coronavirus disease 2019 (COVID-19) raises concerns of widespread panic and anxiety in individuals subjected to the real or perceived threat of the virus. Compared to general populations, patients who are institutionalized in a closed unit ??"
130,T Burki,COVID-19 in Latin America,2020,The Lancet Infectious Diseases,thelancet.com,"Coronavirus disease 2019 (COVID-19) has arrived late in South America. On February 25, 2020, Brazil was the first nation in the region to report the disease. Within weeks, countries across the continent had closed their borders and enforced lockdowns. As of April 14, Latin ??","COVID-19 in Latin America Coronavirus disease 2019 (COVID-19) has arrived late in South America. On February 25, 2020, Brazil was the first nation in the region to report the disease. Within weeks, countries across the continent had closed their borders and enforced lockdowns. As of April 14, Latin ??"
130,"L Li, Z Yang, Z Dang, C Meng, J Huang, H Meng??",Propagation analysis and prediction of the COVID-19,2020,Infectious Disease ??,Elsevier,"Based on the official data modeling, this paper studies the transmission process of the Corona Virus Disease 2019 (COVID-19). The error between the model and the official data curve is quite small. At the same time, it realized forward prediction and backward inference ??","Propagation analysis and prediction of the COVID-19 Based on the official data modeling, this paper studies the transmission process of the Corona Virus Disease 2019 (COVID-19). The error between the model and the official data curve is quite small. At the same time, it realized forward prediction and backward inference ??"
130,"AL Bertozzi, E Franco, G Mohler??",The challenges of modeling and forecasting the spread of COVID-19,2020,Proceedings of the ??,National Acad Sciences,"The coronavirus disease 2019 (COVID-19) pandemic has placed epidemic modeling at the forefront of worldwide public policy making. Nonetheless, modeling and forecasting the spread of COVID-19 remains a challenge. Here, we detail three regional-scale models for ??","The challenges of modeling and forecasting the spread of COVID-19 The coronavirus disease 2019 (COVID-19) pandemic has placed epidemic modeling at the forefront of worldwide public policy making. Nonetheless, modeling and forecasting the spread of COVID-19 remains a challenge. Here, we detail three regional-scale models for ??"
128,"F Gao, KI Zheng, XB Wang, QF Sun, KH Pan??",Obesity is a risk factor for greater COVID-19 severity,2020,Diabetes ??,Am Diabetes Assoc,"The coronavirus disease 2019 (COVID-19) pandemic, caused by the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), has attracted increasing worldwide attention (1). Obesity commonly aggravates the severity of respiratory diseases, but it is ??","Obesity is a risk factor for greater COVID-19 severity The coronavirus disease 2019 (COVID-19) pandemic, caused by the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), has attracted increasing worldwide attention (1). Obesity commonly aggravates the severity of respiratory diseases, but it is ??"
127,"FB Hamzah, C Lau, H Nazri, DV Ligot, G Lee??",CoronaTracker: worldwide COVID-19 outbreak data analysis and prediction,2020,Bull World Health ??,cdn.spotle.ai,"Background COVID-19 outbreak was first reported in Wuhan, China and has spread to more than 50 countries. WHO declared COVID-19 as a Public Health Emergency of International Concern (PHEIC) on 30 January 2020. Naturally, a rising infectious disease involves fast ??","CoronaTracker: worldwide COVID-19 outbreak data analysis and prediction Background COVID-19 outbreak was first reported in Wuhan, China and has spread to more than 50 countries. WHO declared COVID-19 as a Public Health Emergency of International Concern (PHEIC) on 30 January 2020. Naturally, a rising infectious disease involves fast ??"
127,R Horton,Offline: COVID-19 is not a pandemic,2020,"Lancet (London, England)",ncbi.nlm.nih.gov,"As the world approaches 1 million deaths from COVID-19, we must confront the fact that we are taking a far too narrow approach to managing this outbreak of a new coronavirus. We have viewed the cause of this crisis as an infectious disease. All of our interventions have ??","Offline: COVID-19 is not a pandemic As the world approaches 1 million deaths from COVID-19, we must confront the fact that we are taking a far too narrow approach to managing this outbreak of a new coronavirus. We have viewed the cause of this crisis as an infectious disease. All of our interventions have ??"
126,"A Abidah, HN Hidaayatullaah??",The impact of COVID-19 to Indonesian Education and its Relation to the philosophy of ??Merdeka Belajar??,2020,Studies in Philosophy ??,scie-journal.com,"The Covid-19 pandemic is now beginning to spread to the world of education. The Ministry of Education and Culture (MOEC) is currently based on official information, ready with all scenarios, including encouraging online learning for students. This article is a kind of ??","The impact of COVID-19 to Indonesian Education and its Relation to the philosophy of ??Merdeka Belajar?? The Covid-19 pandemic is now beginning to spread to the world of education. The Ministry of Education and Culture (MOEC) is currently based on official information, ready with all scenarios, including encouraging online learning for students. This article is a kind of ??"
126,"P Libby, T L??scher","COVID-19 is, in the end, an endothelial disease",2020,European heart journal,academic.oup.com,"The vascular endothelium provides the crucial interface between the blood compartment and tissues, and displays a series of remarkable properties that normally maintain homeostasis. This tightly regulated palette of functions includes control of haemostasis ??","COVID-19 is, in the end, an endothelial disease The vascular endothelium provides the crucial interface between the blood compartment and tissues, and displays a series of remarkable properties that normally maintain homeostasis. This tightly regulated palette of functions includes control of haemostasis ??"
125,"E Nicastri, N Petrosillo, T Ascoli Bartoli, L Lepore??",National institute for the infectious diseases ??L. Spallanzani?? IRCCS. Recommendations for COVID-19 clinical management,2020,Infectious disease ??,mdpi.com,"Abstract On January 9 2020, the World Health Organization (WHO) declared the identification, by Chinese Health authorities, of a novel coronavirus, further classified as SARS-CoV-2 responsible of a disease (COVID-19) ranging from asymptomatic cases to ??","National institute for the infectious diseases ??L. Spallanzani?? IRCCS. Recommendations for COVID-19 clinical management Abstract On January 9 2020, the World Health Organization (WHO) declared the identification, by Chinese Health authorities, of a novel coronavirus, further classified as SARS-CoV-2 responsible of a disease (COVID-19) ranging from asymptomatic cases to ??"
124,"F B??n??zit, P Le Turnier, C Declerck, C Paill????",Utility of hyposmia and hypogeusia for the diagnosis of COVID-19,2020,The Lancet Infectious ??,thelancet.com,"Early and accurate diagnosis of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection is key to the management of the coronavirus disease 2019 (COVID-19) pandemic. Following its emergence in China in December, 2019, SARS-CoV-2 has spread ??","Utility of hyposmia and hypogeusia for the diagnosis of COVID-19 Early and accurate diagnosis of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection is key to the management of the coronavirus disease 2019 (COVID-19) pandemic. Following its emergence in China in December, 2019, SARS-CoV-2 has spread ??"
124,"M Dinkin, V Gao, J Kahan, S Bobker, M Simonetto??",COVID-19 presenting with ophthalmoparesis from cranial nerve palsy,2020,??,spneurologia.com,"Discussion: We describe two patients who developed cranial neuropathies within days of respiratory symptoms related to SARS-CoV-2 infection and were found to have abnormal perineural or cranial nerve findings on MRI. To reduce the risk of transmission, work-up was ??","COVID-19 presenting with ophthalmoparesis from cranial nerve palsy Discussion: We describe two patients who developed cranial neuropathies within days of respiratory symptoms related to SARS-CoV-2 infection and were found to have abnormal perineural or cranial nerve findings on MRI. To reduce the risk of transmission, work-up was ??"
123,"AC Guidon, AA Amato",COVID-19 and neuromuscular disorders,2020,Neurology,AAN Enterprises,"The coronavirus 2019 (COVID-19) pandemic has potential to disproportionately and severely affect patients with neuromuscular disorders. In a short period of time, it has already caused reorganization of neuromuscular clinical care delivery and education, which will ??","COVID-19 and neuromuscular disorders The coronavirus 2019 (COVID-19) pandemic has potential to disproportionately and severely affect patients with neuromuscular disorders. In a short period of time, it has already caused reorganization of neuromuscular clinical care delivery and education, which will ??"
123,J Abbasi,The promise and peril of antibody testing for COVID-19,2020,Jama,jamanetwork.com,"In the first such community-wide campaign in the US, the San Miguel County Department of Health offered the voluntary screening to most of the area's 8000 residents over 2 weeks. Just 8 of the 986 individuals tested on March 26 and 27 were positive for SARS-CoV-2 ??","The promise and peril of antibody testing for COVID-19 In the first such community-wide campaign in the US, the San Miguel County Department of Health offered the voluntary screening to most of the area's 8000 residents over 2 weeks. Just 8 of the 986 individuals tested on March 26 and 27 were positive for SARS-CoV-2 ??"
123,"K Thorlund, L Dron, J Park, G Hsu, JI Forrest??",A real-time dashboard of clinical trials for COVID-19,2020,The Lancet Digital ??,thelancet.com,"In response to the global coronavirus disease 2019 (COVID-19) emergency, clinical trial research assessing the efficacy and safety of clinical candidate interventions to treat COVID-19 are emerging at an unprecedented rate. As of April 21, 2020, well over 500 clinical trials ??","A real-time dashboard of clinical trials for COVID-19 In response to the global coronavirus disease 2019 (COVID-19) emergency, clinical trial research assessing the efficacy and safety of clinical candidate interventions to treat COVID-19 are emerging at an unprecedented rate. As of April 21, 2020, well over 500 clinical trials ??"
122,"J Sun, A Aghemo, A Forner, L Valenti",COVID?\19 and liver disease,2020,,Wiley Online Library,"Since December 2019, patients with unexplained pneumonia have been found in Wuhan, Hubei Province, China, which was caused by a novel coronavirus that had not been previously identified (1). Tentatively defined as 2019 novel coronavirus (2019?\nCoV), the ??","COVID?\19 and liver disease Since December 2019, patients with unexplained pneumonia have been found in Wuhan, Hubei Province, China, which was caused by a novel coronavirus that had not been previously identified (1). Tentatively defined as 2019 novel coronavirus (2019?\nCoV), the ??"
121,"D Parnell, P Widdop, A Bond??","COVID-19, networks and sport",2020,Managing Sport and ??,Taylor & Francis,"This commentary serves to provide a rapid analysis of the impact of coronavirus disease 2019 (COVID-19) on sporting mass gatherings. The focus of this commentary surrounds sporting mass gatherings and strategies to mitigate the spread of COVID-19, with a ??","COVID-19, networks and sport This commentary serves to provide a rapid analysis of the impact of coronavirus disease 2019 (COVID-19) on sporting mass gatherings. The focus of this commentary surrounds sporting mass gatherings and strategies to mitigate the spread of COVID-19, with a ??"
